timestamp;Buffer;FPS;ReportedBitrate;Resolution;CalcBitrate
1694912910761;10.333;18;639;426x240;45365
1694912911760;13.268;18;639;426x240;45499
1694912912760;12.203;18;639;426x240;45620
1694912913760;11.411;18;639;426x240;45756
1694912914761;10.187;18;639;426x240;45881
1694912915760;13.186;18;639;426x240;46018
1694912916761;12.216;18;639;426x240;46160
1694912917762;11.426;18;639;426x240;46301
1694912918761;10.368;18;639;426x240;46436
1694912919760;13.305;18;639;426x240;46573
1694912920761;12.241;18;639;426x240;46729
1694912921761;11.449;18;639;426x240;46858
1694912922762;10.386;18;639;426x240;47007
1694912923760;13.209;18;639;426x240;47134
1694912924761;12.259;18;639;426x240;47266
1694912925761;11.194;18;639;426x240;47409
1694912926760;14.337;18;639;426x240;47525
1694912927761;13.337;18;639;426x240;47651
1694912928760;12.272;18;639;426x240;47784
1694912929762;11.208;18;639;426x240;47912
1694912930760;14.275;18;639;426x240;48068
1694912931761;13.304;18;639;426x240;48195
1694912932761;12.288;18;639;426x240;48333
1694912933760;11.224;18;639;426x240;48469
1694912934761;14.265;18;639;426x240;48594
1694912935762;13.353;18;639;426x240;48714
1694912936760;12.305;18;639;426x240;48858
1694912937761;11.24;18;639;426x240;48984
1694912938760;10.45;18;639;426x240;49097
1694912939761;13.385;18;639;426x240;49222
1694912940761;12.32;18;639;426x240;49335
1694912941760;11.256;18;639;426x240;49441
1694912942761;10.192;18;639;426x240;49561
1694912943761;13.297;18;639;426x240;49687
1694912944761;12.335;18;639;426x240;49817
1694912945761;11.272;18;639;426x240;49963
1694912946762;14.208;18;639;426x240;50114
1694912947762;13.417;18;639;426x240;50247
1694912948760;12.353;18;639;426x240;50372
1694912949761;11.288;24;1867;854x480;50510
1694912950761;10.225;24;1867;854x480;50647
1694912951762;9.432;24;1867;854x480;50778
1694912952760;8.369;24;1867;854x480;50912
1694912953760;7.305;24;1867;854x480;51047
1694912954760;6.24;24;1867;854x480;51185
1694912955761;5.231;18;639;426x240;51330
1694912956763;8.375;18;639;426x240;51466
1694912957760;11.191;18;639;426x240;51592
1694912958760;14.201;18;639;426x240;51714
1694912959761;13.193;18;639;426x240;51841
1694912960760;12.401;18;639;426x240;51969
1694912961761;11.337;18;639;426x240;52095
1694912962760;14.189;18;639;426x240;52224
1694912963760;13.209;18;639;426x240;52379
1694912964763;12.241;18;639;426x240;52496
1694912965761;11.352;18;639;426x240;52631
1694912966760;14.289;18;639;426x240;52771
1694912967760;13.225;18;639;426x240;52909
1694912968762;12.433;18;639;426x240;53038
1694912969760;11.369;18;639;426x240;53196
1694912970762;10.305;18;639;426x240;53345
1694912971760;13.242;18;639;426x240;53461
1694912972760;12.183;18;639;426x240;53617
1694912973761;11.384;18;639;426x240;53741
1694912974761;10.321;18;639;426x240;53855
1694912975760;13.257;18;639;426x240;53987
1694912976761;12.194;18;639;426x240;54129
1694912977760;11.29;24;1867;854x480;54281
1694912978758;10.338;24;1867;854x480;54418
1694912979761;9.275;24;1867;854x480;54538
1694912980760;8.213;24;1867;854x480;54687
1694912981760;7.355;24;1867;854x480;54808
1694912982760;6.375;24;1867;854x480;54935
1694912983757;5.31;24;1867;854x480;55149
1694912984760;4.25;24;1867;854x480;55516
1694912985760;7.406;30;3312;1280x720;55871
1694912986760;6.388;30;3312;1280x720;56205
1694912987760;5.322;30;3312;1280x720;56571
1694912988760;4.258;30;3312;1280x720;56926
1694912989758;3.466;30;3312;1280x720;57298
1694912990761;2.399;30;3312;1280x720;57626
1694912991761;1.229;18;639;426x240;57948
1694912992761;0.207;18;639;426x240;58231
1694912993761;3.209;24;1867;854x480;58416
1694912994761;2.417;24;1867;854x480;58520
1694912995761;1.353;24;1867;854x480;58654
1694912996760;0.29;18;639;426x240;58716
1694912997760;3.237;18;639;426x240;58898
1694912998762;6.44;18;639;426x240;59040
1694912999761;9.374;18;639;426x240;59157
1694913000761;12.295;18;639;426x240;59273
1694913001761;11.247;18;639;426x240;59398
1694913002761;10.454;18;639;426x240;59534
1694913003762;13.36;18;639;426x240;59672
1694913004761;12.326;18;639;426x240;59808
1694913005760;11.262;18;639;426x240;59928
1694913006760;14.216;18;639;426x240;60042
1694913007760;13.405;18;639;426x240;60169
1694913008760;12.341;18;639;426x240;60304
1694913009760;11.276;18;639;426x240;60428
1694913010760;14.213;18;639;426x240;60557
1694913011761;13.421;18;639;426x240;60685
1694913012762;12.355;18;639;426x240;60808
1694913013761;11.295;18;639;426x240;60927
1694913014761;10.229;18;639;426x240;61079
1694913015760;13.437;18;639;426x240;61198
1694913016761;12.372;18;639;426x240;61334
1694913017761;11.309;24;1867;854x480;61482
1694913018761;10.243;24;1867;854x480;61608
1694913019761;9.448;24;1867;854x480;61762
1694913020759;8.388;24;1867;854x480;61866
1694913021760;7.218;24;1867;854x480;62000
1694913022761;6.268;24;1867;854x480;62118
1694913023760;5.294;24;1867;854x480;62231
1694913024761;4.223;24;1867;854x480;62344
1694913025762;7.261;18;639;426x240;62457
1694913026760;10.284;18;639;426x240;62582
1694913027761;13.221;18;639;426x240;62721
1694913028761;12.268;18;639;426x240;62854
1694913029757;11.365;18;639;426x240;62980
1694913030761;14.301;18;639;426x240;63117
1694913031760;13.235;18;639;426x240;63256
1694913032761;12.444;18;639;426x240;63376
1694913033762;11.378;18;639;426x240;63491
1694913034762;10.314;18;639;426x240;63608
1694913035761;13.251;18;639;426x240;63726
1694913036762;12.457;18;639;426x240;63834
1694913037761;11.395;18;639;426x240;63954
1694913038757;14.211;18;639;426x240;64071
1694913039760;13.267;18;639;426x240;64176
1694913040762;12.472;18;639;426x240;64300
1694913041761;11.411;18;639;426x240;64409
1694913042761;14.227;18;639;426x240;64527
1694913043759;13.283;18;639;426x240;64631
1694913044761;12.22;18;639;426x240;64735
1694913045760;11.314;24;1867;854x480;64863
1694913046761;10.364;24;1867;854x480;64986
1694913047760;9.3;24;1867;854x480;65121
1694913048761;8.236;24;1867;854x480;65211
1694913049762;7.444;24;1867;854x480;65323
1694913050760;6.38;24;1867;854x480;65437
1694913051761;5.317;24;1867;854x480;65551
1694913052762;4.258;18;639;426x240;65663
1694913053760;7.47;18;639;426x240;65769
1694913054760;10.409;18;639;426x240;65905
1694913055762;13.334;18;639;426x240;66039
1694913056761;12.271;18;639;426x240;66162
1694913057761;11.479;18;639;426x240;66290
1694913058761;10.416;18;639;426x240;66400
1694913059761;9.349;18;639;426x240;66527
1694913060760;12.284;18;639;426x240;66635
1694913061761;11.488;18;639;426x240;66758
1694913062760;10.427;18;639;426x240;66882
1694913063761;13.362;18;639;426x240;66995
1694913064762;12.297;18;639;426x240;67114
1694913065760;11.234;18;639;426x240;67239
1694913066761;10.442;18;639;426x240;67354
1694913067761;9.377;18;639;426x240;67476
1694913068761;12.315;18;639;426x240;67589
1694913069762;11.251;18;639;426x240;67702
1694913070760;10.459;18;639;426x240;67819
1694913071761;13.394;18;639;426x240;67943
1694913072761;12.33;18;639;426x240;68063
1694913073762;11.272;24;1867;854x480;68184
1694913074761;10.283;24;1867;854x480;68307
1694913075761;9.412;24;1867;854x480;68436
1694913076761;8.359;24;1867;854x480;68561
1694913077761;7.292;24;1867;854x480;68686
1694913078757;6.239;24;1867;854x480;68809
1694913079763;5.264;18;639;426x240;68934
1694913080760;4.379;18;639;426x240;69039
1694913081761;7.317;18;639;426x240;69199
1694913082761;10.252;18;639;426x240;69326
1694913083761;13.46;18;639;426x240;69437
1694913084761;12.394;18;639;426x240;69548
1694913085760;11.332;18;639;426x240;69658
1694913086760;10.266;18;639;426x240;69764
1694913087761;13.259;18;639;426x240;69879
1694913088761;12.408;18;639;426x240;69997
1694913089760;11.346;18;639;426x240;70111
1694913090763;10.283;18;639;426x240;70215
1694913091761;13.396;18;639;426x240;70336
1694913092760;12.435;18;639;426x240;70452
1694913093761;11.375;18;639;426x240;70574
1694913094761;10.311;18;639;426x240;70678
1694913095761;13.455;18;639;426x240;70791
1694913096763;12.455;18;639;426x240;70910
1694913097762;11.386;18;639;426x240;71026
1694913098761;14.323;18;639;426x240;71153
1694913099761;13.26;18;639;426x240;71293
1694913100761;12.468;18;639;426x240;71400
1694913101761;11.404;24;1867;854x480;71520
1694913102761;10.345;24;1867;854x480;71659
1694913103761;9.275;24;1867;854x480;71792
1694913104760;8.452;24;1867;854x480;71903
1694913105761;7.423;24;1867;854x480;72041
1694913106760;6.263;18;639;426x240;72144
1694913107761;9.291;18;639;426x240;72257
1694913108761;12.468;18;639;426x240;72373
1694913109761;11.436;18;639;426x240;72490
1694913110762;14.308;18;639;426x240;72610
1694913111761;13.307;18;639;426x240;72729
1694913112762;12.51;18;639;426x240;72846
1694913113761;11.453;18;639;426x240;72957
1694913114760;10.357;18;639;426x240;73067
1694913115760;9.323;18;639;426x240;73188
1694913116761;8.26;18;639;426x240;73295
1694913117762;11.303;18;639;426x240;73414
1694913118760;10.403;18;639;426x240;73530
1694913119760;13.325;18;639;426x240;73642
1694913120762;12.277;18;639;426x240;73749
1694913121760;11.484;18;639;426x240;73882
1694913122761;10.42;18;639;426x240;73991
1694913123761;13.357;18;639;426x240;74115
1694913124761;12.298;18;639;426x240;74244
1694913125761;11.5;18;639;426x240;74358
1694913126762;10.436;18;639;426x240;74466
1694913127760;13.373;18;639;426x240;74624
1694913128760;12.308;18;639;426x240;74765
1694913129761;11.515;24;1867;854x480;74912
1694913130760;10.452;24;1867;854x480;75048
1694913131761;9.388;24;1867;854x480;75193
1694913132762;8.327;24;1867;854x480;75317
1694913133761;7.277;24;1867;854x480;75452
1694913134764;6.369;24;1867;854x480;75586
1694913135762;5.433;24;1867;854x480;75716
1694913136765;4.38;18;639;426x240;75870
1694913137760;3.32;18;639;426x240;76016
1694913138761;6.534;18;639;426x240;76159
1694913139761;9.463;18;639;426x240;76285
1694913140760;8.397;18;639;426x240;76415
1694913141760;11.334;18;639;426x240;76538
1694913142760;14.29;18;639;426x240;76695
1694913143760;13.473;18;639;426x240;76829
1694913144761;12.408;18;639;426x240;76960
1694913145761;11.341;18;639;426x240;77096
1694913146761;10.55;18;639;426x240;77250
1694913147760;13.328;18;639;426x240;77399
1694913148762;12.428;18;639;426x240;77518
1694913149760;11.368;18;639;426x240;77646
1694913150760;10.302;18;639;426x240;77797
1694913151760;13.383;18;639;426x240;77936
1694913152760;12.446;18;639;426x240;78084
1694913153761;11.382;18;639;426x240;78224
1694913154761;10.317;18;639;426x240;78364
1694913155760;13.525;18;639;426x240;78474
1694913156762;12.459;18;639;426x240;78600
1694913157761;11.395;24;1867;854x480;78710
1694913158760;10.332;24;1867;854x480;78815
1694913159761;9.539;24;1867;854x480;78925
1694913160761;8.476;24;1867;854x480;79037
1694913161761;7.416;18;639;426x240;79162
1694913162761;14.315;18;639;426x240;79269
1694913163761;13.499;18;639;426x240;79394
1694913164761;12.419;18;639;426x240;79505
1694913165761;11.435;18;639;426x240;79611
1694913166761;10.372;18;639;426x240;79726
1694913167757;9.306;18;639;426x240;79857
1694913168761;8.512;18;639;426x240;79963
1694913169761;11.451;18;639;426x240;80078
1694913170763;10.386;18;639;426x240;80204
1694913171760;13.323;18;639;426x240;80319
1694913172761;12.5;18;639;426x240;80404
1694913173761;11.471;18;639;426x240;80555
1694913174761;10.342;18;639;426x240;80687
1694913175761;13.35;18;639;426x240;80824
1694913176763;12.553;18;639;426x240;80973
1694913177760;11.489;18;639;426x240;81118
1694913178761;10.424;18;639;426x240;81265
1694913179757;9.36;18;639;426x240;81400
1694913180760;8.568;18;639;426x240;81540
1694913181760;7.505;18;639;426x240;81679
1694913182760;6.439;18;639;426x240;81811
1694913183762;9.374;18;639;426x240;81909
1694913184761;8.313;18;639;426x240;82027
1694913185760;11.404;18;639;426x240;82140
1694913186761;14.455;18;639;426x240;82246
1694913187761;13.391;18;639;426x240;82356
1694913188760;12.326;18;639;426x240;82492
1694913189761;11.348;24;1867;854x480;82627
1694913190761;10.47;24;1867;854x480;82771
1694913191761;9.407;24;1867;854x480;82921
1694913192760;8.341;24;1867;854x480;83046
1694913193761;7.551;24;1867;854x480;83198
1694913194768;6.489;24;1867;854x480;83329
1694913195761;5.425;24;1867;854x480;83473
1694913196759;4.37;24;1867;854x480;83597
1694913197757;3.311;24;1867;854x480;83742
1694913198762;2.516;18;639;426x240;83877
1694913199760;1.407;18;639;426x240;84022
1694913200761;0.388;18;639;426x240;84081
1694913201761;3.323;18;639;426x240;84250
1694913202764;2.53;18;639;426x240;84371
1694913203760;5.47;18;639;426x240;84483
1694913204758;4.401;18;639;426x240;84604
1694913205760;7.335;18;639;426x240;84716
1694913206760;10.544;18;639;426x240;84850
1694913207761;9.479;18;639;426x240;84949
1694913208760;12.42;18;639;426x240;85089
1694913209760;11.357;18;639;426x240;85239
1694913210760;10.565;18;639;426x240;85385
1694913211762;9.504;18;639;426x240;85521
1694913212760;12.44;18;639;426x240;85630
1694913213760;11.376;18;639;426x240;85753
1694913214761;10.407;18;639;426x240;85872
1694913215760;9.522;18;639;426x240;85986
1694913216762;12.455;18;639;426x240;86105
1694913217761;11.392;18;639;426x240;86221
1694913218760;10.326;18;639;426x240;86353
1694913219762;13.535;18;639;426x240;86465
1694913220760;12.476;18;639;426x240;86593
1694913221761;11.417;18;639;426x240;86701
1694913222765;10.356;18;639;426x240;86819
1694913223763;13.42;18;639;426x240;86934
1694913224761;12.345;18;639;426x240;87050
1694913225760;11.445;18;639;426x240;87173
1694913226761;10.389;18;639;426x240;87317
1694913227760;13.41;18;639;426x240;87429
1694913228764;12.39;18;639;426x240;87562
1694913229761;11.469;18;639;426x240;87667
1694913230761;10.403;18;639;426x240;87782
1694913231762;9.612;18;639;426x240;87908
1694913232761;12.544;18;639;426x240;88025
1694913233762;11.48;18;639;426x240;88136
1694913234761;10.415;18;639;426x240;88255
1694913235761;13.352;18;639;426x240;88365
1694913236761;12.463;18;639;426x240;88473
1694913237760;11.495;18;639;426x240;88587
1694913238761;10.432;18;639;426x240;88704
1694913239760;9.37;18;639;426x240;88827
1694913240760;12.575;18;639;426x240;88908
1694913241761;11.51;18;639;426x240;89048
1694913242760;10.351;18;639;426x240;89198
1694913243757;9.383;18;639;426x240;89337
1694913244760;12.559;18;639;426x240;89476
1694913245761;11.526;18;639;426x240;89611
1694913246760;10.398;18;639;426x240;89769
1694913247757;9.4;18;639;426x240;89890
1694913248761;12.607;18;639;426x240;90009
1694913249761;11.543;18;639;426x240;90133
1694913250760;10.476;18;639;426x240;90255
1694913251761;13.364;18;639;426x240;90363
1694913252761;12.35;18;639;426x240;90474
1694913253761;11.559;18;639;426x240;90580
1694913254764;10.464;18;639;426x240;90693
1694913255761;9.432;18;639;426x240;90816
1694913256760;8.365;18;639;426x240;90933
1694913257761;7.577;18;639;426x240;91050
1694913258761;10.513;18;639;426x240;91163
1694913259760;9.446;18;639;426x240;91279
1694913260760;8.384;18;639;426x240;91397
1694913261760;7.591;18;639;426x240;91501
1694913262778;10.527;18;639;426x240;91608
1694913263760;13.463;18;639;426x240;91731
1694913264761;12.398;18;639;426x240;91857
1694913265761;11.606;18;639;426x240;91981
1694913266760;10.543;18;639;426x240;92087
1694913267762;13.48;18;639;426x240;92241
1694913268762;12.416;18;639;426x240;92383
1694913269761;11.351;18;639;426x240;92547
1694913270761;10.56;18;639;426x240;92649
1694913271760;9.497;18;639;426x240;92768
1694913272763;8.429;18;639;426x240;92879
1694913273761;7.368;18;639;426x240;93000
1694913274761;6.574;18;639;426x240;93113
1694913275761;5.512;18;639;426x240;93230
1694913276761;8.447;18;639;426x240;93364
1694913277761;7.383;18;639;426x240;93491
1694913278760;10.352;18;639;426x240;93601
1694913279762;13.526;18;639;426x240;93709
1694913280761;12.465;18;639;426x240;93820
1694913281760;11.398;18;639;426x240;93932
1694913282762;10.607;18;639;426x240;94042
1694913283760;9.541;18;639;426x240;94154
1694913284760;12.479;18;639;426x240;94267
1694913285761;11.416;18;639;426x240;94390
1694913286760;10.352;18;639;426x240;94534
1694913287760;13.352;18;639;426x240;94659
1694913288760;12.497;18;639;426x240;94781
1694913289761;11.431;18;639;426x240;94890
1694913290761;10.367;18;639;426x240;95027
1694913291761;9.576;18;639;426x240;95178
1694913292762;12.511;18;639;426x240;95291
1694913293757;11.448;18;639;426x240;95431
1694913294761;10.382;18;639;426x240;95571
1694913295761;13.446;18;639;426x240;95709
1694913296764;12.526;18;639;426x240;95852
1694913297760;11.463;18;639;426x240;95983
1694913298762;10.4;18;639;426x240;96129
1694913299761;13.343;18;639;426x240;96279
1694913300761;12.543;18;639;426x240;96359
1694913301760;11.48;18;639;426x240;96495
1694913302761;10.412;18;639;426x240;96644
1694913303762;9.352;18;639;426x240;96774
1694913304760;8.465;18;639;426x240;96895
1694913305760;11.496;18;639;426x240;97059
1694913306761;10.432;18;639;426x240;97188
1694913307762;9.367;18;639;426x240;97276
1694913308760;8.576;18;639;426x240;97421
1694913309760;11.512;18;639;426x240;97548
1694913310762;10.447;18;639;426x240;97670
1694913311761;9.39;18;639;426x240;97784
1694913312761;12.589;18;639;426x240;97927
1694913313761;11.528;18;639;426x240;98028
1694913314760;10.384;18;639;426x240;98173
1694913315761;9.4;18;639;426x240;98306
1694913316761;8.606;18;639;426x240;98460
1694913317761;11.465;18;639;426x240;98599
1694913318758;10.48;18;639;426x240;98742
1694913319761;9.415;18;639;426x240;98862
1694913320760;12.352;18;639;426x240;98996
1694913321761;11.56;18;639;426x240;99108
1694913322761;10.496;18;639;426x240;99233
1694913323760;9.43;18;639;426x240;99367
1694913324760;12.369;18;639;426x240;99499
1694913325761;11.583;18;639;426x240;99627
1694913326760;10.518;18;639;426x240;99760
1694913327762;13.459;18;639;426x240;99866
1694913328761;12.381;18;639;426x240;100010
1694913329761;11.605;18;639;426x240;100137
1694913330761;10.541;18;639;426x240;100266
1694913331761;13.48;18;639;426x240;100417
1694913332761;12.411;18;639;426x240;100566
1694913333760;11.618;18;639;426x240;100685
1694913334761;10.554;18;639;426x240;100827
1694913335761;9.49;18;639;426x240;100985
1694913336765;12.426;18;639;426x240;101120
1694913337760;11.361;18;639;426x240;101262
1694913338761;10.569;18;639;426x240;101395
1694913339761;9.505;18;639;426x240;101524
1694913340760;8.442;18;639;426x240;101661
1694913341759;11.378;18;639;426x240;101820
1694913342761;10.586;18;639;426x240;101955
1694913343761;9.537;18;639;426x240;102102
1694913344760;12.476;18;639;426x240;102184
1694913345760;11.415;18;639;426x240;102323
1694913346760;10.629;18;639;426x240;102460
1694913347760;9.569;18;639;426x240;102608
1694913348760;12.492;18;639;426x240;102762
1694913349760;11.425;18;639;426x240;102848
1694913350760;10.633;18;639;426x240;102995
1694913351757;9.568;18;639;426x240;103134
1694913352761;12.498;18;639;426x240;103289
1694913353761;11.437;18;639;426x240;103423
1694913354761;10.515;18;639;426x240;103544
1694913355761;9.579;18;639;426x240;103678
1694913356764;12.515;18;639;426x240;103802
1694913357761;11.451;18;639;426x240;103946
1694913358760;10.387;18;639;426x240;104096
1694913359760;9.596;18;639;426x240;104228
1694913360764;12.529;18;639;426x240;104383
1694913361760;11.466;18;639;426x240;104510
1694913362761;10.404;18;639;426x240;104643
1694913363762;9.613;18;639;426x240;104796
1694913364761;12.452;18;639;426x240;104913
1694913365760;11.483;18;639;426x240;105046
1694913366760;10.42;18;639;426x240;105182
1694913367760;9.628;18;639;426x240;105315
1694913368761;12.499;18;639;426x240;105458
1694913369761;11.499;18;639;426x240;105608
1694913370772;10.436;18;639;426x240;105716
1694913371761;13.379;18;639;426x240;105852
1694913372760;12.58;18;639;426x240;105974
1694913373761;11.515;18;639;426x240;106094
1694913374762;14.382;18;639;426x240;106240
1694913375761;13.387;18;639;426x240;106379
1694913376760;12.596;18;639;426x240;106510
1694913377761;11.531;18;639;426x240;106644
1694913378762;10.467;18;639;426x240;106786
1694913379761;13.404;18;639;426x240;106931
1694913380761;12.611;18;639;426x240;107066
1694913381761;11.547;18;639;426x240;107209
1694913382764;10.48;18;639;426x240;107324
1694913383761;9.419;18;639;426x240;107488
1694913384759;8.627;18;639;426x240;107595
1694913385761;11.564;18;639;426x240;107722
1694913386760;10.496;18;639;426x240;107828
1694913387760;9.436;18;639;426x240;107932
1694913388762;12.644;18;639;426x240;108042
1694913389760;11.58;18;639;426x240;108164
1694913390761;10.515;18;639;426x240;108278
1694913391762;13.451;18;639;426x240;108387
1694913392760;12.387;18;639;426x240;108490
1694913393760;11.595;18;639;426x240;108621
1694913394761;10.532;18;639;426x240;108735
1694913395760;13.467;18;639;426x240;108848
1694913396761;12.4;18;639;426x240;108960
1694913397760;11.612;18;639;426x240;109075
1694913398761;10.546;18;639;426x240;109187
1694913399760;13.481;18;639;426x240;109304
1694913400760;12.419;18;639;426x240;109424
1694913401760;11.627;18;639;426x240;109550
1694913402764;10.563;18;639;426x240;109695
1694913403761;13.504;18;639;426x240;109819
1694913404761;12.432;18;639;426x240;109922
1694913405762;11.642;18;639;426x240;110088
1694913406760;10.58;18;639;426x240;110217
1694913407760;13.516;18;639;426x240;110348
1694913408761;12.453;18;639;426x240;110488
1694913409761;11.389;24;1867;854x480;110631
1694913410761;10.599;24;1867;854x480;110758
1694913411761;9.533;24;1867;854x480;110897
1694913412764;8.468;24;1867;854x480;111051
1694913413761;7.401;24;1867;854x480;111192
1694913414757;6.454;24;1867;854x480;111320
1694913415762;5.547;24;1867;854x480;111446
1694913416760;4.484;24;1867;854x480;111843
1694913417772;3.39;18;639;426x240;111971
1694913418760;6.483;18;639;426x240;112148
1694913419761;5.564;18;639;426x240;112264
1694913420760;8.5;18;639;426x240;112381
1694913421761;11.433;18;639;426x240;112497
1694913422761;14.533;18;639;426x240;112629
1694913423761;13.452;18;639;426x240;112752
1694913424761;12.515;18;639;426x240;112869
1694913425760;11.451;18;639;426x240;112978
1694913426757;10.393;18;639;426x240;113124
1694913427760;13.5;18;639;426x240;113261
1694913428760;12.531;18;639;426x240;113398
1694913429761;11.469;18;639;426x240;113530
1694913430761;10.404;18;639;426x240;113642
1694913431771;13.546;18;639;426x240;113772
1694913432762;12.547;18;639;426x240;113901
1694913433760;11.488;18;639;426x240;114047
1694913434760;10.426;18;639;426x240;114188
1694913435761;13.603;18;639;426x240;114331
1694913436760;12.572;18;639;426x240;114464
1694913437760;11.507;18;639;426x240;114603
